"","Transect_ID","Transect_nickname","Position_along_transect_m","Sample_ID","Litter_depth_cm","pH_mean","Vial_type","percent_soil_moisture","long","lat"
"26",20.2002,"Holly Hollow",18,20.0617,5,6.22333333333333,"SCINT",21.8014329580348,120.057944,34.736602
"27",20.2002,"Holly Hollow",20,20.0621,3,6.5,"Falcon",20.4708290685773,120.057933333333,34.73659
"28",20.2002,"Holly Hollow",22,20.0561,3,6.54,"Falcon",20.7354443309499,120.057922666667,34.736578
"29",20.2002,"Holly Hollow",24,20.0045,2,6.45,"SCINT",19.0180878552972,120.057912,34.736566
"30",20.2002,"Holly Hollow",26,20.0149,1,5.99,"SCINT",18.1329423264907,120.057901333333,34.736554
"31",20.2002,"Holly Hollow",28,20.0333,NA,6.00333333333333,"SCINT",21.2371134020619,120.057890666667,34.736542
"32",20.2002,"Holly Hollow",30,20.0221,0.5,5.92,"SCINT",22.1139045664443,120.05788,34.73653
"33",20.2003,"Laura's Ledge",0,20.0441,NA,5.59,"SCINT",14.7270854788877,120.05844,34.7361700000001
"34",20.2003,"Laura's Ledge",2,20.0501,NA,5.89333333333333,"SCINT",17.5141242937853,120.058440666667,34.7361533333337
"35",20.2003,"Laura's Ledge",4,20.0477,1,5.86,"SCINT",15.9301130524152,120.058441333333,34.7361366666669
"36",20.2003,"Laura's Ledge",6,20.0513,0.25,6.01333333333333,"SCINT",17.906618778861,120.058442,34.73612
"37",20.2003,"Laura's Ledge",8,20.0629,0.5,5.92666666666667,"SCINT",20.6454918032787,120.058442666667,34.7361033333336
"38",20.2003,"Laura's Ledge",10,20.0225,0.25,5.69666666666667,"SCINT",22.2959183673469,120.058443333333,34.7360866666668
"39",20.2003,"Laura's Ledge",12,20.0421,2,6.04333333333333,"TUBE UNKNOWN",18.3599793708097,120.058444,34.7360700000004
"40",20.2003,"Laura's Ledge",14,20.0069,0.25,5.734,"TUBE UNKNOWN",17.0866935483871,120.058444666667,34.7360533333335
"41",20.2003,"Laura's Ledge",16,20.0249,NA,5.61,"SCINT",19.4029850746269,120.058445333333,34.7360366666667
"42",20.2003,"Laura's Ledge",18,20.0253,0.25,6.13,"SCINT",25.5384615384615,120.058446,34.7360199999998
"43",20.2003,"Laura's Ledge",20,20.0165,4,6.12666666666667,"SCINT",15.1717068170169,120.058446666667,34.7360033333334
"44",20.2003,"Laura's Ledge",22,20.0169,1,6.25,"SCINT",17.8608515057113,120.058447333333,34.7359866666666
"45",20.2003,"Laura's Ledge",24,20.0101,0.5,6.29,"TUBE UNKNOWN",16.1340206185567,120.058448,34.7359700000002
"46",20.2003,"Laura's Ledge",26,20.0061,0.5,6.1,"SCINT",17.2928461142563,120.058448666667,34.7359533333333
"47",20.2003,"Laura's Ledge",28,20.0581,1,6.19,"SCINT",17.2219374679651,120.058449333333,34.7359366666669
"48",20.2003,"Laura's Ledge",30,20.0417,1,6.36333333333333,"SCINT",15.5145929339478,120.05845,34.7359200000001
"49",20.2004,"Gabe's Glen",0,20.0473,1.5,6.27666666666667,"TUBE UNKNOWN",13.0144032921811,120.05889,34.73746
"50",20.2004,"Gabe's Glen",2,20.0141,0.25,6.15,"TUBE UNKNOWN",12.9435282358821,120.058884666667,34.7374493333333
"51",20.2004,"Gabe's Glen",4,20.0145,0.25,5.69,"SCINT",12.3469387755102,120.058879333333,34.7374386666667
"52",20.2004,"Gabe's Glen",6,20.0053,1.5,5.99333333333333,"SCINT",20.9039548022599,120.058874,34.737428
"53",20.2004,"Gabe's Glen",8,20.0397,0.5,6.52,"TUBE UNKNOWN",17.1732522796353,120.058868666667,34.7374173333333
"54",20.2004,"Gabe's Glen",10,20.0113,0.5,6.20666666666667,"TUBE UNKNOWN",15.5716502845318,120.058863333333,34.7374066666667
"55",20.2004,"Gabe's Glen",12,20.0121,1.5,6.34666666666667,"Falcon",19.0108191653787,120.058858,34.737396
"56",20.2004,"Gabe's Glen",14,20.0093,0.25,6.03333333333333,"SCINT",15.3885743695317,120.058852666667,34.7373853333333
"57",20.2004,"Gabe's Glen",16,20.0605,0.25,6.76,"Falcon",19.332985930172,120.058847333333,34.7373746666667
"58",20.2004,"Gabe's Glen",18,20.0325,3,6.53666666666667,"TUBE UNKNOWN",11.0087045570916,120.058842,34.737364
"59",20.2004,"Gabe's Glen",20,20.0465,1,6.56666666666667,"SCINT",16.3496143958869,120.058836666667,34.7373533333333
"60",20.2004,"Gabe's Glen",22,20.0209,5,5.93333333333333,"SCINT",16.8200408997955,120.058831333333,34.7373426666666
"61",20.2004,"Gabe's Glen",24,20.0281,6,6.25666666666667,"SCINT",15.7572667006629,120.058826,34.737332
"62",20.2004,"Gabe's Glen",26,20.0237,1,6.38666666666667,"Falcon",16.4627930682977,120.058820666667,34.7373213333333
"63",20.2004,"Gabe's Glen",28,20.0413,8,5.90666666666667,"SCINT",22.3191380194972,120.058815333333,34.7373106666667
"64",20.2004,"Gabe's Glen",30,20.0137,1,6.43333333333333,"SCINT",16.9159360495101,120.05881,34.7373
