Measurement_number,Sample_ID,pH1,pH2,pH3,pH4,pH5,pH6,Notes,Vial_type
116,20.0325,6.51,6.55,6.55,,,,,TUBE UNKNOWN
117,20.0049,6.77,6.77,6.78,,,,,TUBE UNKNOWN
118,20.0161,6.56,6.47,,,,,,TUBE UNKNOWN
119,20.0397,6.51,6.52,6.53,,,,,TUBE UNKNOWN
120,20.0005,6.81,6.85,6.88,,,,,TUBE UNKNOWN
121,20.0449,6.79,6.81,6.80,,,,,TUBE UNKNOWN
122,20.0521,5.80,5.72,5.69,,,,,TUBE UNKNOWN
123,20.0357,6.13,6.09,6.09,,,,,TUBE UNKNOWN
124,20.0473,6.28,6.27,6.28,,,,,TUBE UNKNOWN
125,CALIBRATED,,,,,,,,
126,20.0229,6.82,6.89,6.94,,,,,TUBE UNKNOWN
127,BUFFER 7 READS 7.17,,,,,,,,
128,20.0025,6.02,6.00,5.95,,,,pH taken by N.C starting here,TUBE UNKNOWN
129,20.0509,6.57,6.63,6.64,,,,,TUBE UNKNOWN
130,20.0069,5.87,5.61,5.72,5.73,5.74,,,TUBE UNKNOWN
131,RECALIBRATED,,,,,,,,TUBE UNKNOWN
132,20.0057,6.47,6.58,6.60,,,,,TUBE UNKNOWN
133,20.0549,6.67,6.70,6.72,,,,,TUBE UNKNOWN
134,BUFFER 7.0 READS 7.16,,,,,,,,TUBE UNKNOWN
135,20.0553,6.53,6.60,6.62,,,,,TUBE UNKNOWN
136,20.0545,6.31,6.34,6.37,,,,,TUBE UNKNOWN
137,20.0361,6.95,6.98,7.00,,,,,TUBE UNKNOWN
138,20.0113,6.19,6.21,6.22,,,,,TUBE UNKNOWN
139,20.0517,6.96,7.04,7.06,,,,,TUBE UNKNOWN
140,20.0097,6.78,6.81,6.82,,,,,TUBE UNKNOWN
141,20.0141,6.19,6.14,6.12,,,,,TUBE UNKNOWN
142,20.0261,6.79,6.84,6.86,,,,,TUBE UNKNOWN
143,20.0301,6.76,6.79,6.78,,,,,TUBE UNKNOWN
144,20.0101,6.30,6.30,6.27,,,,,TUBE UNKNOWN
145,20.0117,6.69,6.71,6.74,,,,,TUBE UNKNOWN
