,Transect_ID,Transect_nickname,Position_along_transect_m,Sample_ID,Litter_depth_cm,pH_mean,Vial_type,percent_soil_moisture,QUAG,QUDO,PISA,CEANOTHUS,TOTAL
30,20.2002,Holly Hollow,26,20.0149,1,5.99,SCINT,18.13294233,0.057680318,0.00701311,0.000399905,0.09117867,0.156272003
31,20.2002,Holly Hollow,28,20.0333,NA,6.003333333,SCINT,21.2371134,0.038316768,0.006354859,0.000368118,0.067992599,0.113032344
32,20.2002,Holly Hollow,30,20.0221,0.5,5.92,SCINT,22.11390457,0.02911636,0.005838946,0.00034102,0.055462102,0.090758428
33,20.2003,Laura's Ledge,0,20.0441,NA,5.59,SCINT,14.72708548,0.172537148,0.007945293,0,0.183749064,0.364231505
34,20.2003,Laura's Ledge,2,20.0501,NA,5.893333333,SCINT,17.51412429,0.272789098,0.008106064,0,0.284516621,0.565411783
35,20.2003,Laura's Ledge,4,20.0477,1,5.86,SCINT,15.93011305,0.139659333,0.008134984,0,0.151844937,0.299639254
36,20.2003,Laura's Ledge,6,20.0513,0.25,6.013333333,SCINT,17.90661878,0.124122979,0.008242696,0,0.136938848,0.269304523
37,20.2003,Laura's Ledge,8,20.0629,0.5,5.926666667,SCINT,20.6454918,0.119042258,0.008474802,0,0.132725911,0.260242971
38,20.2003,Laura's Ledge,10,20.0225,0.25,5.696666667,SCINT,22.29591837,0.120955582,0.00882107,0,0.135744373,0.265521025
39,20.2003,Laura's Ledge,12,20.0421,2,6.043333333,TUBE UNKNOWN,18.35997937,0.136953508,0.009267491,0,0.153042587,0.299263586
40,20.2003,Laura's Ledge,14,20.0069,0.25,5.734,TUBE UNKNOWN,17.08669355,0.214068274,0.00980402,0,0.231520472,0.455392766
41,20.2003,Laura's Ledge,16,20.0249,NA,5.61,SCINT,19.40298507,0.145123423,0.010422076,0,0.163737183,0.319282682
42,20.2003,Laura's Ledge,18,20.0253,0.25,6.13,SCINT,25.53846154,0.136003822,0.011110043,0,0.155303571,0.302417436
43,20.2003,Laura's Ledge,20,20.0165,4,6.126666667,SCINT,15.17170682,0.134294609,0.011847789,0,0.153788169,0.299930567
44,20.2003,Laura's Ledge,22,20.0169,1,6.25,SCINT,17.86085151,0.12416029,0.012600462,0,0.143585926,0.280346678
45,20.2003,Laura's Ledge,24,20.0101,0.5,6.29,TUBE UNKNOWN,16.13402062,0.120942186,0.013313192,0,0.140237151,0.274492529
46,20.2003,Laura's Ledge,26,20.0061,0.5,6.1,SCINT,17.29284611,0.126555103,0.013910873,0,0.145701696,0.286167672
47,20.2003,Laura's Ledge,28,20.0581,1,6.19,SCINT,17.22193747,0.142110119,0.014308912,0,0.16103355,0.317452581
48,20.2003,Laura's Ledge,30,20.0417,1,6.363333333,SCINT,15.51459293,0.163449756,0.014437175,0,0.181995432,0.359882363
49,20.2004,Gabe's Glen,0,20.0473,1.5,6.276666667,TUBE UNKNOWN,13.01440329,0.038155375,0,0,0.116216411,0.154371786
50,20.2004,Gabe's Glen,2,20.0141,0.25,6.15,TUBE UNKNOWN,12.94352824,0.037528832,0,0,0.12660018,0.164129012
51,20.2004,Gabe's Glen,4,20.0145,0.25,5.69,SCINT,12.34693878,0.034603707,0,0,0.133584451,0.168188158
52,20.2004,Gabe's Glen,6,20.0053,1.5,5.993333333,SCINT,20.9039548,0.033092746,0,0,0.143683128,0.176775874
53,20.2004,Gabe's Glen,8,20.0397,0.5,6.52,TUBE UNKNOWN,17.17325228,0.031352258,0,0,0.138262868,0.169615126
54,20.2004,Gabe's Glen,10,20.0113,0.5,6.206666667,TUBE UNKNOWN,15.57165028,0.031549266,0,0,0.123767326,0.155316592
55,20.2004,Gabe's Glen,12,20.0121,1.5,6.346666667,Falcon,19.01081917,0.035046529,0,0,0.115626812,0.150673341
56,20.2004,Gabe's Glen,14,20.0093,0.25,6.033333333,SCINT,15.38857437,0.0441126,0,0,0.117830999,0.161943599
57,20.2004,Gabe's Glen,16,20.0605,0.25,6.76,Falcon,19.33298593,0.06913521,0,0,0.141269259,0.210404469
58,20.2004,Gabe's Glen,18,20.0325,3,6.536666667,TUBE UNKNOWN,11.00870456,0.25182431,0,0,0.327078072,0.578902382
59,20.2004,Gabe's Glen,20,20.0465,1,6.566666667,SCINT,16.3496144,0.088547939,0,0,0.166007917,0.254555856
60,20.2004,Gabe's Glen,22,20.0209,5,5.933333333,SCINT,16.8200409,0.044704918,0,0,0.120751303,0.165456221
61,20.2004,Gabe's Glen,24,20.0281,6,6.256666667,SCINT,15.7572667,0.031088277,0,0,0.108530206,0.139618483
62,20.2004,Gabe's Glen,26,20.0237,1,6.386666667,Falcon,16.46279307,0.024240632,0,0,0.103903901,0.128144533
63,20.2004,Gabe's Glen,28,20.0413,8,5.906666667,SCINT,22.31913802,0.020054123,0,0,0.102300713,0.122354836
64,20.2004,Gabe's Glen,30,20.0137,1,6.433333333,SCINT,16.91593605,0.017199898,0,0,0.099201284,0.116401182
